term,edf,ref.df,statistic,p.value
s(midSlice),8.987949821094013,8.999863998937967,707.0262785517936,0
s(log_cellHouse),3.865389393039408,3.9847884224081374,984.543484797324,0
s(nCenter_18km),7.198516589790336,8.22984154578068,114.34432584396289,0
s(nType_18km),8.77647660675696,8.97657247368383,183.53845276121092,0
