grp,condval_(Intercept),condsd_(Intercept),condval_isCenter,condsd_isCenter,condval_std_log_cellHouse,condsd_std_log_cellHouse,condval_std_localCatchment,condsd_std_localCatchment,condval_std_nCenter_18km,condsd_std_nCenter_18km,condval_std_nType_18km,condsd_std_nType_18km
1,-1.6652788476667926,0.4550272119681474,1.170885048669304,0.7011125550601528,0.3199329627342271,0.35277841059955345,0.08200961525751387,0.08676374094893392,-0.03302153557102813,0.20924988134676553,0.0723184094678105,0.1928334121744684
2,3.059817009802822,0.3098659722255726,-3.783560281118722,0.5425918435174364,0.11196131380473544,0.2492371298473375,-0.14239983182598331,0.0760021698294952,0.1928553258344618,0.19644376497304664,0.06497459331334628,0.1743947837369607
3,-0.7340726563485327,0.27786162957002936,1.1099380730289794,0.42899403734734953,0.06296010819168235,0.28086110542705894,-0.025645905606488714,0.06807770928181812,-0.044699894279296846,0.1866520920217398,0.1074270663953936,0.1561570230300198
4,-0.23132889609074483,0.20762691742053183,-0.36379797052599017,0.43079730449101317,-0.37490382459379695,0.25609282801034805,-0.006271884352237957,0.05391754034798323,0.11505470718307709,0.18005706237311428,0.05101100188607306,0.13085260655587763
5,1.2602403982367907,0.2117697612261258,-1.4837683711885925,0.39917238139088407,-0.4472620487898232,0.17818517615048815,-0.10330131395128311,0.058060592524912094,0.1566148771484213,0.16560258087331348,0.06131085232070004,0.1339198561195728
6,2.378961087195714,0.30403314139917453,-2.7747698897928577,0.45046606601409755,-0.12261946920691827,0.24773211986776464,-0.081098403883556075,0.07702758613910805,0.20366103931559604,0.18729019156273052,-0.08892201233860925,0.17675531715384887
7,-0.5567398587428156,1.0308638928871101,2.3987369666478977,1.1032317354238415,0.505469953476104,0.28571015932145044,-6.998623873905995e-4,0.09544421907406594,-0.3579949282030855,0.19281008968689642,-0.011650521716077403,0.19508549100544706
8,-1.594020294227608,0.48672329238257417,0.6724403536371508,0.8377523818275728,-0.09589038204543658,0.38320693927845184,0.10502410510264923,0.09039949289912476,0.14608858679898037,0.2207269249661437,-0.04272050410586239,0.1932275726355191
9,0.7732530278393137,0.18534165984479123,-1.5508234633993467,0.47941058182524426,-0.5283602635333488,0.23897138845579746,-0.0032502071891401113,0.057496678681453195,0.28756961523171753,0.15355120996537516,-0.12877333849210104,0.1069224102671632
10,1.051234139907303,0.2051007157230521,-1.0852960129067812,0.3298787274948956,-0.0984358633417558,0.2377501637630923,-0.08718229183526238,0.05920918002265191,-0.21158578089022462,0.14593558658436048,0.22475084345104762,0.1116381831278307
11,0.4171543790113807,0.20441634313492169,0.02767250210049932,0.3133637669283662,0.13762870512237413,0.22830688152675416,-0.0033476978265631514,0.05659224011633973,-0.14584190841167513,0.15285311200845172,-0.018437167996084664,0.12000247475542945
12,-0.14788643123554696,0.23167199156419044,0.5931217930063657,0.3535645947825397,0.7736959433003434,0.20342415731315686,0.08171958452942309,0.06297453111864512,-0.29713679951063676,0.15678713482978518,-0.06268290992060227,0.1348411647570981
13,-0.6905957720773184,0.25732118844857343,0.08048691069801439,0.4545195147303746,-0.11905842506916255,0.3177439031006018,-0.028037269628091353,0.06303485839125075,-0.14284367268345796,0.1744292667178119,0.303645122349113,0.1490192144176124
14,1.1399474385937012,0.10995593555052102,-0.3927784578491442,0.21491523382782154,-0.07509535592497515,0.1575300999020831,-0.06301766789663493,0.039623626245882816,-0.21482512419327437,0.08662420518887,0.03725506019164873,0.08332541047736182
15,1.9316763500215837,0.2499435725211068,-0.9173158058612861,0.2978752176141287,0.19775639130061676,0.20172293293723648,-0.1076713017607821,0.06253683672289631,-0.27361174032361496,0.13966556135040067,0.07342435543866156,0.13033293143999414
16,0.08562686362685465,0.9199612567180837,1.9705471300347315,0.9846700690011313,0.45927868858817966,0.2626664897314543,-2.6034286232966275e-4,0.09627705854257114,-0.3990542278834026,0.18161038325762374,-0.0914875213604687,0.20018387637786456
17,1.639084253293384,0.18590439737121262,-0.48108197515447526,0.34115946832308763,0.1656661044843462,0.22934334006185206,-0.13276693674242027,0.05079797972155409,-0.06647937633563113,0.12682366631173478,0.03308234689761657,0.12772047509931533
18,0.7251515254432659,0.1284977267127362,-0.2577399196043352,0.2525480546674702,0.4347742785626189,0.1648708433654077,-0.023080536580347782,0.04402794206755503,0.017913715846928607,0.09919899017464817,-0.07432709736969241,0.10910482114712639
19,-2.565804555881071,0.3315917897422464,3.714842609544435,0.4041542185641668,0.15881552206397673,0.24219752427550287,0.03942724067059466,0.07034779154582542,-0.005013867405151362,0.15942362612330244,-0.006562152883951961,0.17165949198374533
20,0.7335269978056479,0.198742503688321,-0.7186004962207643,0.4190838773654093,0.15009882714126113,0.23993957541767647,-0.09844384637838528,0.0635388669489494,-0.19708198112453157,0.1570519922826084,0.2828358177707356,0.13098861660362487
21,0.06183100030586135,0.23361848759005197,0.10335621081269218,0.40254030560250886,0.30160906936116444,0.2696386570713619,-0.03604770122726421,0.06897255340761671,-0.09856032713746671,0.1769602613871989,0.1264715531874279,0.1516800246340521
22,-1.0682459696624955,0.20839678431704106,0.9283572158659171,0.3670168226634494,-0.6569241341114281,0.28815467149198315,-0.08861495408021505,0.06579633916018461,0.08435898793379779,0.16447613695672086,0.2739176640457427,0.15609977259927785
23,0.10309907972279489,0.06316709633912916,-0.940388925832448,0.3025875653229369,0.3428847191362343,0.10336707612741054,0.12535640614377147,0.035524547373679785,0.24508061097600814,0.09421759025621258,-0.30777895605416983,0.07533753468591323
24,1.0450275345461268,0.0756950220359275,-0.6992589758032894,0.2392715179736066,0.2505001943377002,0.11567050077479489,-0.036204325317424776,0.0441152767382884,0.08625932146455774,0.12018596747014498,-0.10041414519679166,0.09075464681082865
25,0.5982841646325346,0.14389361358078798,-1.192881698513353,0.30381681853997117,-0.012789208818138428,0.20378494891255222,0.06560888267416233,0.046236232146364596,0.213760422390268,0.11031729974234802,-0.24694038607760976,0.1097969060409649
26,0.14763955402815038,0.1792135737764866,-0.2903034152438181,0.2925031286305811,-0.15771259494844272,0.22873885601774321,0.06175688223469615,0.05473703869897655,0.06014887978894595,0.12386497333030844,-0.18807906452326023,0.11729468120784112
27,-2.019629854819252,0.2045283899217609,2.189759970714565,0.30709080984651677,-0.5295849252178453,0.26935350201672964,0.03274228334075073,0.05691244827544628,0.21811713499532454,0.15548991843592158,-0.046983566737145245,0.1373678553373295
28,-1.5129370845804468,0.1477760262188564,1.0445650487348745,0.2921883950796137,-0.28920784491564155,0.1984460595620736,-0.05248737620367654,0.04362571852541053,0.10347617711598404,0.09871064533082961,0.2876862402896702,0.10880542505091456
29,0.17858069712168273,0.10106759280382599,-0.49310423702742856,0.24632107583904303,-0.14482391561094088,0.14027803409569456,0.02511094738484327,0.03533700994138594,0.03323785932788293,0.06930771924074915,-0.05763503607433311,0.08478275973055653
30,-0.03914814369044544,0.10880968701739362,-0.2304790496231154,0.25542377185898135,-0.3950160368675426,0.16986255336706643,-0.030174887131742555,0.03893489776047262,0.18043974223773188,0.09090248328403998,0.005934840172713941,0.07990983295094767
31,-1.5849625751949201,0.16094631102087395,1.0391114841333173,0.34051027362390457,-0.041571423730171156,0.2214651108716072,0.06691480739072142,0.05367821769324999,0.01302951951408042,0.12217246973915245,0.067121013759109,0.10103687471244732
32,-0.6717036389959778,0.14392648180874826,-0.5548941926090336,0.32605113908601213,0.01764549663085399,0.18933786143928033,0.2122465730793136,0.03744430473143802,0.1556413541475271,0.08835195850138988,-0.35761848910155103,0.0858980882597661
33,-0.453375753169864,0.17463942749981773,1.1618703625175506,0.2574916789620733,0.23006345975197057,0.1660647090766366,0.10371628000040592,0.04198911928391399,-0.3224768951420476,0.07634504879471402,-0.14261682687112892,0.1331720445772346
34,-1.0730200617359906,0.18635971775662488,0.27756497946879044,0.312378262938935,0.1554936215010724,0.20288836491157872,0.13785393159681109,0.04486476342043939,0.12110276431414402,0.056741833142109586,-0.1712197745892701,0.13209918882018876
