SITE_ID,SITE_NO,dummyCell
351,5MT19389,9741
355,5MT19390,116509
358,5MT19391,78101
360,5MT19393,43837
361,5MT19394,116509
363,5MT19396,46005
367,5MT10247,29870
369,5MT19400,28689
372,5MT10248,81424
373,5MT19402,55333
374,5MT10249,81424
376,5MT10250,81424
379,5MT19405,101622
382,5MT19379,81424
383,5MT19408,87346
385,5MT19410,72545
395,5MT10251,125713
401,5MT19420,66791
402,5MT19421,99514
403,5MT19422,99514
404,5MT19423,37444
406,5MT19425,104633
407,5MT19426,16237
408,5MT19427,91612
409,5MT19428,105630
410,5MT3829,43675
411,5MT19429,105630
413,5MT19430,16237
414,5MT3829,46659
422,5MT16803,90905
427,5MT16788,8091
433,5MT19433,8252
434,5MT19434,38029
435,5MT19435,63539
436,5MT19436,87816
437,5MT19437,31190
438,5MT19438,87816
442,5MT19441,87816
445,5MT263,121790
498,5MT2687,11763
531,5DL1502,123264
532,5DL1503,29938
552,5DL540,101692
567,5DL857,91809
572,5DL865,44409
579,5MT10018,70463
630,5MT10376,63401
660,5MT10405,83797
668,5MT10413,53485
698,5MT10508,80015
752,5MT10610,98763
761,5MT10622,98049
762,5MT10623,98049
770,5MT10631,82822
771,5MT10632,99280
774,5MT10635,36253
775,5MT10636,119437
776,5MT10637,19836
781,5MT10642,33806
782,5MT10643,33806
787,5MT10648,33806
792,5MT10653,98691
794,5MT10655,78175
795,5MT10656,66009
800,5MT10661,42206
802,5MT10663,60668
805,5MT10666,53979
807,5MT10668,42206
808,5MT10669,91996
809,5MT10670,91996
810,5MT10671,123445
812,5MT10673,97953
817,5MT10678,45848
819,5MT10680,112620
821,5MT10682,91996
823,5MT10684,97445
824,5MT10685,97445
826,5MT10687,15050
828,5MT10689,37233
833,5MT10694,118915
841,5MT10701,119574
842,5MT10702,83252
845,5MT10705,83252
846,5MT10706,22121
849,5MT10709,29458
856,5MT10716,90790
858,5MT10718,18478
859,5MT10719,36877
861,5MT10721,71403
871,5MT10731,40113
875,5MT10735,81155
876,5MT10736,92059
881,5MT10742,50650
888,5MT10750,24433
894,5MT10757,71403
896,5MT10759,50650
913,5MT10782,89992
915,5MT10784,89992
917,5MT10786,66995
920,5MT10789,121328
922,5MT10791,24433
925,5MT10794,107180
926,5MT10795,107180
928,5MT10797,6720
929,5MT10798,6720
930,5MT10799,116444
946,5MT10818,93213
947,5MT10819,25918
956,5MT10828,123119
959,5MT10831,56071
962,5MT10834,88880
1028,5MT11056,83982
1068,5MT11125,79485
1077,5MT11334,20259
1078,5MT11335,83002
1088,5MT11353,121735
1090,5MT11355,77190
1093,5MT11358,45448
1107,5MT11392,20668
1111,5MT11396,122283
1112,5MT11397,87073
1130,5MT11509,22214
1148,5MT11578,16581
1155,5MT11585,85465
1156,5MT11586,103487
1168,5MT11598,95600
1170,5MT11600,98667
1173,5MT11603,10731
1186,5MT11616,38647
1222,5MT11700,25549
1234,5MT11807,46741
1236,5MT11809,48435
1239,5MT11813,63228
1277,5MT11891,6789
1285,5MT11899,6789
1293,5MT11907,9020
1295,5MT11909,105072
1303,5MT11916,35021
1305,5MT11918,43949
1321,5MT11934,89444
1322,5MT11935,13140
1344,5MT120,54193
1355,5MT12058,45619
1357,5MT12064,118655
1364,5MT1208,107517
1374,5MT12100,95604
1384,5MT12113,10525
1391,5MT12126,110349
1392,5MT12127,129314
1407,5MT12179,52964
1445,5MT125,128255
1454,5MT12581,25306
1462,5MT12594,28657
1467,5MT12599,41987
1468,5MT126,31341
1470,5MT12604,63141
1471,5MT12605,63141
1478,5MT12615,18581
1479,5MT12616,48717
1492,5MT12641,54931
1496,5MT12646,47350
1502,5MT12652,89966
1506,5MT12657,106454
1513,5MT1270,111564
1535,5MT12721,117196
1567,5MT1285,27466
1572,5MT12868,10401
1589,5MT129,126004
1593,5MT12930,32383
1594,5MT12931,58736
1623,5MT12969,83256
1624,5MT12970,83256
1626,5MT12972,123634
1641,5MT12988,76155
1643,5MT12991,59034
1645,5MT12993,22347
1646,5MT12994,32235
1649,5MT12998,69833
1653,5MT13001,43042
1656,5MT13004,126596
1660,5MT13008,74125
1704,5MT13195,26611
1723,5MT13251,97947
1766,5MT133,68887
1768,5MT13301,16748
1771,5MT13304,50899
1772,5MT13305,50899
1773,5MT13306,37498
1774,5MT13307,105463
1776,5MT13309,60368
1777,5MT13310,18372
1778,5MT13311,18372
1780,5MT13313,81892
1782,5MT13315,71604
1788,5MT13321,93307
1789,5MT13321,103662
1798,5MT13331,129222
1811,5MT13345,73670
1817,5MT13351,45266
1818,5MT13352,57897
1819,5MT13353,120908
1820,5MT13354,112152
1822,5MT13356,35457
1831,5MT13365,71102
1835,5MT13369,56627
1838,5MT13372,32266
1839,5MT13373,76239
1841,5MT13375,103423
1844,5MT13378,46602
1852,5MT13386,113077
1854,5MT13388,74750
1859,5MT13393,10557
1871,5MT13404,81084
1875,5MT13408,103773
1878,5MT13411,82903
1882,5MT13415,29524
1885,5MT13418,99369
1886,5MT13419,92140
1887,5MT13420,32990
1891,5MT13424,29524
1894,5MT13427,17882
1900,5MT13433,111698
1901,5MT13434,54880
1903,5MT13436,128245
1911,5MT13444,56038
1924,5MT13470,10822
1926,5MT13491,35419
1930,5MT135,77051
1935,5MT13538,116513
1936,5MT13539,21705
1940,5MT13543,126835
1949,5MT13552,58857
1964,5MT13568,32963
1974,5MT13578,81914
1979,5MT13583,8573
1985,5MT13589,42631
1990,5MT13594,42631
1993,5MT13597,108992
1995,5MT13599,20829
2012,5MT13615,112294
2013,5MT13616,63989
2017,5MT13620,45329
2019,5MT13622,53410
2023,5MT13636,33173
2026,5MT13640,32245
2029,5MT13643,96534
2030,5MT13644,77191
2032,5MT13725,94082
2033,5MT13726,50486
2045,5MT13756,94324
2063,5MT13912,19088
2065,5MT13914,64184
2067,5MT14399,110833
2074,5MT14543,16529
2089,5MT152,9265
2106,5MT1536,113140
2118,5MT1548,47418
2120,5MT1550,16731
2121,5MT1551,18779
2127,5MT1557,98772
2130,5MT156,45231
2131,5MT1560,71698
2132,5MT1561,15206
2136,5MT1568,22385
2137,5MT1570,25190
2141,5MT1575,11274
2147,5MT1580,74882
2152,5MT1585,28693
2172,5MT1606,75128
2177,5MT1610,110253
2184,5MT1617,107380
2186,5MT1619,16056
2188,5MT1620,16056
2189,5MT1621,112130
2190,5MT1622,36867
2192,5MT1624,69754
2194,5MT1626,106949
2198,5MT1630,32980
2202,5MT1634,52428
2206,5MT1638,61238
2210,5MT1641,102911
2214,5MT1645,28844
2231,5MT1660,43071
2232,5MT1661,88722
2236,5MT1665,55902
2239,5MT1669,82771
2240,5MT167,107720
2249,5MT1678,36821
2251,5MT1680,84586
2258,5MT1687,26864
2261,5MT169,118051
2264,5MT1692,117101
2265,5MT1693,43789
2268,5MT170,36154
2279,5MT1710,70876
2283,5MT1714,119007
2299,5MT1731,118514
2301,5MT1733,95604
2303,5MT1735,17053
2304,5MT1736,128914
2308,5MT174,63414
2310,5MT1741,109608
2316,5MT1748,7484
2346,5MT1777,64513
2348,5MT1779,91322
2362,5MT1792,114057
2363,5MT1793,107038
2368,5MT1798,107814
2369,5MT1799,120184
2371,5MT1801,64533
2372,5MT1802,107640
2377,5MT1807,71122
2378,5MT1808,71122
2380,5MT181,129614
2385,5MT1814,51329
2388,5MT1818,62294
2390,5MT182,31341
2393,5MT1822,101276
2394,5MT1823,110788
2403,5MT1831,52762
2407,5MT1835,46893
2412,5MT184,58264
2421,5MT185,72519
2422,5MT1853,62469
2431,5MT1904,11435
2435,5MT1915,30902
2439,5MT192,10472
2458,5MT1945,24296
2462,5MT1949,48917
2466,5MT1952,34818
2469,5MT1955,35729
2475,5MT1964,34014
2477,5MT1966,75551
2480,5MT1971,14888
2485,5MT198,57493
2488,5MT1982,91747
2489,5MT1987,107761
2491,5MT1989,18568
2492,5MT199,34109
2499,5MT1998,38929
2516,5MT2013,18120
2517,5MT202,53153
2521,5MT2024,10267
2528,5MT2031,22432
2529,5MT2032,22432
2531,5MT204,41669
2535,5MT2052,100550
2536,5MT2053,100550
2542,5MT206,129655
2543,5MT2064,76233
2545,5MT2067,85473
2549,5MT210,24096
2552,5MT2110,103503
2558,5MT2116,40335
2559,5MT2117,70222
2560,5MT2118,49164
2562,5MT212,22714
2567,5MT215,109648
2569,5MT216,51582
2572,5MT2162,90078
2602,5MT2192,106350
2604,5MT2194,48000
2610,5MT220,113219
2617,5MT2206,23459
2632,5MT222,24845
2639,5MT2226,45422
2644,5MT2230,10329
2649,5MT2235,48524
2656,5MT2241,77397
2665,5MT2258,105080
2669,5MT2263,20682
2710,5MT232,117708
2741,5MT2355,123022
2762,5MT2377,87784
2763,5MT2378,46303
2783,5MT240,6831
2803,5MT2430,119143
2812,5MT244,14991
2813,5MT2441,64847
2825,5MT2458,67309
2845,5MT2479,90833
2856,5MT249,56821
2857,5MT2490,40335
2866,5MT2500,96768
2886,5MT253,40325
2906,5MT2549,96464
2907,5MT255,10834
2912,5MT2560,122682
2915,5MT258,62492
2976,5MT270,118242
2985,5MT2723,119111
2986,5MT2725,119111
2989,5MT273,120839
2993,5MT2737,17113
3001,5MT275,127233
3004,5MT2761,67278
3006,5MT2764,38908
3011,5MT279,101227
3021,5MT282,83758
3022,5MT283,98300
3038,5MT2855,16239
3112,5MT3049,24809
3118,5MT3054,52219
3123,5MT3059,70755
3125,5MT3060,70755
3127,5MT3062,48244
3130,5MT3065,112130
3131,5MT3066,128440
3146,5MT3082,128340
3147,5MT3083,128340
3165,5MT3101,106632
3167,5MT3103,81329
3169,5MT3105,125464
3194,5MT313,50238
3207,5MT3142,9601
3211,5MT3146,71840
3236,5MT3173,35923
3263,5MT3198,127547
3274,5MT3209,127681
3275,5MT321,95868
3280,5MT3214,78062
3283,5MT3217,113140
3285,5MT3219,93858
3317,5MT3264,11858
3338,5MT3287,20170
3339,5MT3288,25062
3342,5MT3291,11857
3355,5MT3303,44121
3356,5MT3304,97648
3369,5MT3319,93858
3370,5MT3322,12379
3385,5MT355,31317
3456,5MT3778,127544
3469,5MT3795,119581
3474,5MT3800,106544
3475,5MT3801,97334
3479,5MT3806,115147
3486,5MT3813,91612
3500,5MT3828,16123
3545,5MT3878,32819
3549,5MT3882,61596
3551,5MT3885,75320
3552,5MT3886,121328
3553,5MT3887,42206
3559,5MT3893,50650
3562,5MT3896,91083
3564,5MT3898,114830
3566,5MT3900,70067
3574,5MT3908,105710
3576,5MT3911,105710
3577,5MT3912,89092
3578,5MT3913,105710
3580,5MT3915,116444
3612,5MT3950,106301
3614,5MT3952,17402
3655,5MT3995,89890
3750,5MT415,20022
3822,5MT4326,61974
3828,5MT4332,122911
3855,5MT4370,119516
3869,5MT4386,78816
3933,5MT447,75053
3955,5MT4494,114362
3964,5MT4502,55139
3969,5MT4507,77418
3970,5MT4508,28954
3977,5MT4514,69847
3980,5MT452,71058
3984,5MT4525,40643
3988,5MT453,6118
3992,5MT4534,66725
3998,5MT454,6118
4004,5MT4545,19207
4020,5MT456,23823
4033,5MT458,21135
4049,5MT4606,97241
4053,5MT4610,17239
4056,5MT4613,72489
4059,5MT4616,41015
4073,5MT4629,13044
4074,5MT463,75442
4084,5MT4640,100626
4096,5MT4651,22153
4113,5MT467,11978
4135,5MT469,129717
4157,5MT4715,84784
4168,5MT473,67403
4170,5MT474,126969
4188,5MT476,79274
4283,5MT4855,89322
4306,5MT4876,45178
4307,5MT4877,45146
4308,5MT4878,45146
4310,5MT488,78660
4319,5MT489,114998
4330,5MT490,45000
4350,5MT4931,117809
4367,5MT495,52171
4374,5MT496,12166
4383,5MT497,39050
4390,5MT498,122201
4408,5MT5002,48836
4409,5MT5003,121025
4423,5MT5018,88232
4429,5MT5023,38963
4493,5MT5085,29797
4535,5MT5124,76461
4541,5MT513,92572
4553,5MT5140,110061
4561,5MT5148,100221
4563,5MT515,92916
4564,5MT5150,41465
4568,5MT5154,75007
4597,5MT519,99535
4600,5MT522,99810
4605,5MT525,52964
4619,5MT527,74009
4691,5MT535,102866
4702,5MT536,70291
4761,5MT5446,63201
4771,5MT5456,93346
4776,5MT5461,8556
4783,5MT5468,21112
4784,5MT5469,113872
4793,5MT5480,38635
4800,5MT5495,99052
4803,5MT5499,93481
4805,5MT5501,71054
4806,5MT5502,31095
4807,5MT5503,55292
4814,5MT5517,100409
4902,5MT566,38005
4910,5MT5717,91184
4922,5MT5730,108166
4925,5MT5735,104419
4926,5MT5736,104419
4927,5MT5737,104419
4939,5MT5758,38967
4941,5MT5770,86485
4944,5MT5774,26222
4945,5MT5775,10554
4946,5MT5776,34887
4947,5MT5777,8735
4950,5MT5780,112444
4951,5MT5781,5724
4955,5MT5786,54012
4956,5MT5787,54012
4957,5MT5788,89564
4961,5MT5792,91674
4977,5MT5810,41830
4986,5MT5820,44367
4992,5MT5826,10679
5022,5MT5882,119111
5117,5MT5981,12959
5320,5MT6253,102427
5346,5MT6280,90071
5363,5MT6298,90664
5382,5MT6317,121622
5426,5MT6363,24957
5628,5MT658,46925
5682,5MT665,72199
5715,5MT668,58817
5726,5MT669,62264
5748,5MT671,14481
5777,5MT6739,49251
5778,5MT674,47266
5794,5MT6754,8305
5810,5MT677,45168
5832,5MT679,124925
5869,5MT6827,129534
5872,5MT683,37976
5887,5MT685,111478
5917,5MT689,113541
5918,5MT690,21123
5956,5MT6947,71107
5961,5MT6952,21705
5963,5MT6954,101400
5977,5MT6968,14489
6025,5MT7069,79863
6030,5MT7073,118179
6036,5MT7084,26883
6045,5MT711,42600
6046,5MT712,120393
6048,5MT714,128376
6064,5MT716,90474
6086,5MT720,8376
6108,5MT722,41236
6119,5MT723,123057
6130,5MT724,78190
6136,5MT7246,84673
6139,5MT7249,115217
6140,5MT725,15930
6153,5MT7288,69867
6158,5MT7292,92870
6192,5MT7323,98191
6209,5MT734,58757
6215,5MT7345,107021
6224,5MT7354,114366
6225,5MT7355,17311
6226,5MT7356,63063
6228,5MT7358,54974
6234,5MT7363,49881
6243,5MT7371,58626
6269,5MT7395,33843
6281,5MT7406,54974
6327,5MT7502,114159
6334,5MT7514,31786
6343,5MT7525,60510
6363,5MT755,82263
6365,5MT756,121995
6368,5MT757,81213
6389,5MT762,14925
6405,5MT769,53876
6406,5MT770,48062
6408,5MT772,36511
6409,5MT773,32245
6413,5MT777,8264
6421,5MT785,23760
6423,5MT788,116852
6428,5MT7912,78620
6433,5MT793,60874
6440,5MT7953,11868
6443,5MT7956,59190
6447,5MT796,64184
6467,5MT7983,60062
6471,5MT7987,33604
6505,5MT803,66807
6506,5MT8030,25397
6508,5MT804,37498
6534,5MT8069,8353
6535,5MT807,123586
6547,5MT8089,79373
6548,5MT809,92708
6549,5MT8090,129093
6553,5MT810,45259
6558,5MT8120,109762
6565,5MT8163,15394
6570,5MT817,59119
6594,5MT8201,20022
6645,5MT8252,80292
6659,5MT8266,6573
6664,5MT8270,6573
6683,5MT8289,31183
6684,5MT829,53410
6699,5MT831,53410
6704,5MT8335,124268
6711,5MT8355,110727
6719,5MT8362,33346
6739,5MT8380,49872
6824,5MT8509,108828
6832,5MT8517,107267
6935,5MT8727,25159
6940,5MT8736,80585
6974,5MT879,44619
6977,5MT8795,41204
6978,5MT8796,111416
6988,5MT8805,36358
6993,5MT881,11610
7134,5MT905,69014
7185,5MT9121,26411
7230,5MT918,129441
7270,5MT928,77253
7284,5MT930,78622
7350,5MT938,33178
7393,5MT9432,104236
7395,5MT944,43491
7405,5MT947,64168
7408,5MT950,110406
7410,5MT952,34264
7413,5MT955,9558
7416,5MT961,36049
7425,5MT968,126984
7429,5MT9701,65546
7437,5MT9795,107017
7439,5MT9797,79297
7444,5MT987,54659
7450,5MT994,122699
7454,5MT998,71840
7455,5MT999,55747
7461,5MV1151,69834
7472,5MV1437,14705
7476,5MV1902,90375
7493,5MV2254,86816
7494,5MV2258,50407
7498,5MV2264,86816
7499,5MV2265,86816
7501,5MV2289,79987
7509,5MV2298,115136
7511,5MV2300,76949
7513,5MV2302,25388
7518,5MV2307,124193
7519,5MV2308,92741
7520,5MV2312,76949
