"","x"
"1062",2647
"1063",2719
"1064",2016
"1065",1986
"1066",1948
"1067",1762
"1068",1656
"1069",1596
"1070",1579
"1071",1492
"1072",1427
"1073",1412
"1074",1404
"1075",1375
"1076",1348
"1077",1278
"1078",1252
"1079",1226
"1080",1198
"1081",1215
"1082",1223
"1083",1201
"1084",1158
"1085",1198
"1086",1209
"1087",1157
"1088",1167
"1089",1175
"1090",1179
"1091",1122
"1092",1091
"1093",1069
"1094",1057
"1095",975
"1096",968
"1097",954
"1098",918
"1099",898
"1100",882
"1101",873
"1102",853
"1103",844
"1104",832
"1105",796
"1106",827
"1107",854
"1108",852
"1109",959
"1110",1169
"1111",1206
"1112",1231
"1113",1282
"1114",1330
"1115",1301
"1116",1317
"1117",1332
"1118",1374
"1119",1481
"1120",1654
"1121",1698
"1122",2086
"1123",2615
"1124",2667
"1125",2742
"1126",2941
"1127",2989
"1128",3080
"1129",3096
"1130",3041
"1131",3043
"1132",3024
"1133",3059
"1134",3055
"1135",3077
"1136",3056
"1137",3049
"1138",3093
"1139",3073
"1140",3082
"1141",3102
"1142",3106
"1143",3079
"1144",3100
"1145",3157
"1146",3194
"1147",3278
"1148",3293
"1149",3415
"1150",3546
"1151",3547
"1152",3603
"1153",3602
"1154",3600
"1155",3637
"1156",3693
"1157",3715
"1158",3711
"1159",3656
"1160",3618
"1161",3535
"1162",3432
"1163",3235
"1164",3044
"1165",3043
"1166",3053
"1167",2912
"1168",2893
"1169",2895
"1170",2897
"1171",2897
"1172",2900
"1173",2895
"1174",2880
"1175",2835
"1176",2796
"1177",2809
"1178",2536
"1179",2510
"1180",2498
"1181",2295
"1182",2257
"1183",2283
"1184",2292
"1185",2317
"1186",2466
"1187",2383
"1188",2264
"1189",2313
"1190",2248
"1191",2186
"1192",2107
"1193",2074
"1194",2075
"1195",2037
"1196",2001
"1197",2020
"1198",2084
"1199",2116
"1200",2083
"1201",2046
"1202",2052
"1203",2045
"1204",2198
"1205",2274
"1206",2310
"1207",2389
"1208",2444
"1209",2487
"1210",2565
"1211",2561
"1212",2552
"1213",2623
"1214",2657
"1215",2621
"1216",2658
"1217",2695
"1218",2717
"1219",2732
"1220",2688
"1221",2701
"1222",2750
"1223",2670
"1224",2687
"1225",2752
"1226",2593
"1227",2622
"1228",2646
"1229",2663
"1230",2688
"1231",2743
"1232",2781
"1233",2766
"1234",2805
"1235",2821
"1236",2861
"1237",2852
"1238",2907
"1239",2956
"1240",2911
"1241",3081
"1242",3110
"1243",3242
"1244",3210
"1245",3109
"1246",3118
"1247",3082
"1248",3116
"1249",3077
"1250",3130
"1251",3056
"1252",3024
"1253",2942
"1254",3008
"1255",2943
"1256",2901
"1257",3005
"1258",3013
"1259",3123
"1260",3123
"1261",3087
"1262",3121
"1263",3123
"1264",3177
"1265",3170
"1266",3275
"1267",3399
"1268",3351
"1269",3373
"1270",3351
"1271",3297
"1272",3261
"1273",3335
"1274",3341
"1275",3322
"1276",3283
"1277",3319
"1278",3302
"1279",3251
"1280",3279
"1281",3223
"1282",3266
"1283",3158
"1284",3056
"1285",2991
"1286",2968
"1287",2921
"1288",2808
"1289",2679
"1290",2551
"1291",2452
"1292",2438
"1293",2404
"1294",2367
"1295",2263
"1296",2303
"1297",2143
"1298",1980
"1299",1923
"1300",1738
