dummyCell,vep,boutNo,boutLength,phase,center,meanMaize,relToAll,nHouse,fieldContention,modelledpop,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
5948,14,4,39,0,0,0.8142609425183287,0.17907422177242455,1.8285714285714285,87,2692.114285714286,0,0,0,0,0,1,1,0
5948,14,4,39,1,0,0.7389762340053435,0.07376276831473072,1,85,2263.2,0,0,0,0,0,0,1,0
6019,13,1,17,0,0,0.6228421746797065,-0.010543717418060131,1,52,2947.153846153846,0,0,0,0,0,1,1,0
6019,13,1,17,1,0,0.5977912177962642,-0.04487580753141833,1,59,3213.8,0,0,0,0,0,1,1,0
6118,8,1,10,0,0,0.733114508567033,0.07896892008958038,1,13,565.2222222222222,0,0,0,0,0,0,1,0
6118,8,1,10,1,0,0.7207932704024844,0.06587455504470396,1,11,503,0,0,0,0,0,0,1,0
6118,14,2,14,0,0,0.648011379664944,-0.022250879579974778,1,77,1626.2,0,0,0,0,0,0,1,1
6118,14,2,14,1,0,0.7004037926273962,0.027531398304047116,1,31,1295.8,0,0,0,0,0,0,1,1
6122,6,2,29,0,0,0.8058000063896179,0.14561777114868163,1,32,1073.76,0,0,0,0,0,0,1,0
6122,6,2,29,1,0,0.8216666579246521,0.1448713421821594,1,19,865,0,0,0,0,0,0,1,0
6143,13,1,12,0,0,0.8615343090026609,0.2342426594226591,1,52,2654.875,0,0,0,0,0,1,1,0
6143,13,1,12,1,0,0.8555926988201756,0.21876033640676928,1,52,3076.2,0,0,0,0,0,1,1,0
6143,15,2,45,0,0,0.8104368810505017,0.15579681849737512,1.7560975609756098,85,1338.121951219512,1,1,1,1,1,1,1,0
6143,15,2,45,1,0,0.8615343090026609,0.23152472934415264,1,109,830.6,1,1,1,1,1,1,1,0
6143,16,3,45,0,0,0.7806084565634979,0.08707453372258865,1.829268292682927,141,3164.7073170731705,1,1,1,1,1,1,1,1
6143,16,3,45,1,0,0.7129939583040052,0.062385466406422244,1,73,3161.4,1,1,1,1,0,1,1,1
6145,13,1,19,0,1,0.8036835520498214,0.212276223205751,1,18,496.53333333333336,0,1,0,1,0,0,1,0
6145,13,1,19,1,1,0.8036835520498214,0.17570233633441312,1,46,2704.8,0,1,0,1,0,0,1,0
6145,15,2,15,0,1,0.7622636740158729,0.1219180626603515,1,43,1127.1818181818182,1,1,0,1,0,0,1,1
6145,15,2,15,1,1,0.7786405028835419,0.16125661749993597,1,62,924,1,1,0,1,0,0,1,1
6157,15,1,14,0,0,0.8334325863469032,0.19673292473439247,1,43,1120.1,1,0,1,1,0,0,1,1
6157,15,1,14,1,0,0.8510403056298533,0.2336564202462474,1,62,924,1,1,1,1,1,1,1,1
6166,6,1,16,0,0,0.9426763842653747,0.26688818535720465,1.5,20,894.0833333333334,0,0,1,0,0,0,0,0
6166,6,1,16,1,0,0.943604803747601,0.26565588778919647,1,15,376,0,0,0,0,0,0,0,0
6166,10,2,21,0,0,0.8802678994086266,0.20872046725245652,2.1176470588235294,61,1275.235294117647,1,1,1,0,0,0,1,0
6166,10,2,21,1,0,0.823747297579592,0.16868154054338283,1.2,60,834.8,1,1,1,0,0,0,1,0
6166,17,3,96,0,0,0.9278030394855032,0.24811794569909776,2.5760869565217392,141,2614.1304347826085,1,1,1,1,1,1,1,0
6166,17,3,96,1,0,0.941423861958572,0.21556032774645945,1.2,45,2076.2,0,0,0,0,0,0,0,0
6190,7,1,24,0,0,0.7474772002134058,0.10133320945832461,1.55,19,788.05,0,0,0,0,0,0,1,0
6190,7,1,24,1,0,0.8232212033536699,0.11660545137193465,1,35,690.2,0,0,0,0,0,0,1,0
6190,10,2,14,0,0,0.7857709759714627,0.1404220277311826,1.5,60,629.6,1,1,1,0,0,0,1,0
6190,10,2,14,1,0,0.7683418903085921,0.127348581287596,1,39,330,1,1,1,0,0,0,0,0
6240,12,1,12,0,0,0.7633785671281694,0.16099313560007794,1.625,8,581.375,0,0,0,0,0,0,1,0
6240,12,1,12,1,0,0.7784138455535426,0.16919585610880994,1.4,8,400.8,0,0,0,0,0,0,1,0
6281,16,1,13,0,0,0.664348253212522,0.01732703242250668,1,73,2948.222222222222,1,0,1,1,0,1,1,0
6281,16,1,13,1,0,0.7019066676016776,0.04575949753484414,1,72,2843,1,0,1,1,0,1,1,0
6295,16,1,45,0,0,0.6952605121278717,0.0014300212886810524,1.829268292682927,141,3118.829268292683,1,1,0,1,0,0,1,1
6295,16,1,45,1,0,0.6941877161302874,0.04350003350165581,1,72,3257.8,1,1,0,1,0,0,1,1
6295,18,2,74,0,0,0.6781869297627512,-0.026580046644844837,1.9,123,2566.6428571428573,1,1,1,1,1,1,1,1
6295,18,2,74,1,0,0.634472276895277,-0.020194421083696422,1,127,2994.6,1,1,1,1,1,1,1,1
