dummyCell,vep,log10_boutLength,center,Δ_std_nHouse,Δ_std_fieldContention,Δ_std_regionalPop,Δ_std_localCatchmentQuality,Δ_std_catchmentRelToRegion,Δ_greatkiva,Δ_plaza,Δ_oversizepit,Δ_greathouse,Δ_multiwalls,Δ_encwall,Δ_towers,Δ_reservoir
5553,10,1.9294189257142926,1,0.033450569598279266,-1.6136072725731663,-1.1943876305703753,-0.710148425805532,-0.4299152351989315,-1,-1,0,0,0,0,-1,0
5655,11,1.2041199826559248,1,0.20755838690734196,0.684968005524332,0.9831371210171783,0.7699063462677753,0.49208889784988724,0,0,0,0,0,0,0,0
5656,12,1.3617278360175928,0,-0.16356617104092325,0.02266665420810371,0.04246195397219892,-2.105115348284103,-1.103912840208776,-1,0,0,0,0,0,0,0
5656,13,1.255272505103306,0,0.20755838690734196,0.5291323934499254,1.7808566934809347,-0.03804751676522846,-0.5794529009239191,0,0,0,0,0,0,0,0
5656,14,1.146128035678238,0,0.20755838690734196,-1.3408949514429547,-0.6127200896360046,1.5995735364411443,1.5031165645972593,0,0,0,0,0,0,0,0
5656,17,1.0413926851582251,0,0.20755838690734196,0.21746116930111203,0.8484028989485346,0.12882958902011407,-0.34162986052091443,-1,0,0,0,0,0,0,0
5684,13,1.2304489213782739,0,0.20755838690734196,0.7239269085429337,0.7850652983316246,-0.0043346357904734375,-0.21921723064693868,0,0,0,0,0,0,0,0
5721,6,1.6901960800285136,0,-0.2886488924234868,-0.01629224881049796,-0.10760007339333347,1.5585366013091124,0.8638879692957822,0,0,0,0,0,0,0,0
5724,14,1.3010299956639813,0,0.20755838690734196,-0.600675794089523,-2.13690829293773,-0.963841836845624,-1.4161368741719096,0,0,0,0,0,0,0,0
5724,15,1.6989700043360187,0,0.20755838690734196,-0.05525115182909963,3.760205230754985,0.8063279353085229,-1.0556195494814304,0,0,0,0,0,0,0,0
5724,17,1.4313637641589874,0,0.20755838690734196,-0.05525115182909963,0.8998577013930619,-0.17521852891546252,-1.0759121249714847,0,0,0,0,0,0,0,0
5737,6,1.414973347970818,0,-0.19308744269589895,0.29537897533831536,-0.06748333093534849,0.14164700166449595,-0.01596032198945696,0,0,0,0,0,0,0,0
5737,6,1.1139433523068367,0,0.20755838690734196,0.33433787835691703,-0.7337324655532411,0.12882958902011407,0.08770408791760191,0,0,0,0,0,0,0,0
5747,6,1.146128035678238,0,-0.027487166459892763,0.2564200723197137,-1.0425585461399642,0.13553636527809218,0.1060138934450052,0,0,0,0,0,0,0,0
5747,7,1.3617278360175928,0,0.20755838690734196,0.7239269085429337,0.2425948576110396,0.14043480982896658,-1.634215216021099,0,0,0,0,0,0,0,0
5775,14,1.380211241711606,0,0.20755838690734196,-1.7304839816289712,-2.058157252193438,0.1622486531442414,-0.1751770311877179,0,0,0,1,0,0,0,0
5775,16,1.6532125137753437,0,-0.25106708307750614,-2.197990817852191,0.15305885351763185,-1.2534880436203808,-0.08820096273431484,0,0,0,0,-1,0,0,0
5787,11,1.2304489213782739,0,0.20755838690734196,0.29537897533831536,0.12712503647827783,0.3119632699244661,0.23419797152714397,0,0,0,0,0,0,0,0
5787,14,1.6232492903979006,0,0.05292315442889815,-1.3798538544615564,-2.8435698498318667,0.18447705836022849,-0.26428884251723817,0,0,0,0,0,0,0,0
5804,16,1.591064607026499,0,0.20755838690734196,-1.6915250786103697,0.8154593197658084,-0.6204761041009957,0.6238061881252619,0,-1,0,0,-1,0,0,0
5948,6,1.0791812460476249,0,0.20755838690734196,0.1395433632639087,0.05205458206497293,0.2834092211783265,0.3202614945833689,0,0,0,0,0,0,0,0
5948,7,1.3424226808222062,0,-0.020958123310802806,1.0745570357103487,-0.17156598749059998,2.5949948232192916,1.0615271454914972,0,0,0,0,0,0,0,0
5948,12,1.8388490907372552,0,-0.01844695286884531,-0.6396346971081246,-0.40813801883472284,-1.8309235646550306,-0.8042528347856418,-1,0,0,0,0,0,0,0
5948,14,1.591064607026499,0,-0.2793216879247869,0.3732967813755187,-0.8433585891731439,-1.8678676876675586,-2.553670337200212,0,0,0,0,0,-1,0,0
6019,13,1.2304489213782739,0,0.20755838690734196,0.7239269085429337,0.7850652983316246,-0.5355706374742496,-0.7330015950304835,0,0,0,0,0,0,0,0
6118,8,1,0,0.20755838690734196,0.3732967813755187,0.015129159103984826,-0.19795367380318524,-0.18823956329178962,0,0,0,0,0,0,0,0
6118,14,1.146128035678238,0,0.20755838690734196,-1.3408949514429547,-0.6127200896360046,1.518378547201715,1.424588912470358,0,0,0,0,0,0,0,0
6122,6,1.462397997898956,0,0.20755838690734196,-0.05525115182909963,-0.32794040636181204,0.5496441280667878,0.12849336003843143,0,0,0,0,0,0,0,0
6143,13,1.0791812460476249,0,0.20755838690734196,0.451214587412722,1.147194473084253,-0.028753499296710328,-0.24949230254710852,0,0,0,0,0,0,0,0
6143,15,1.6532125137753437,0,-0.23673503714047964,1.386228259859162,-1.0273923452196903,1.4840330194780178,2.09011197023483,0,0,0,0,0,0,0,0
6143,16,1.6532125137753437,0,-0.2797311749515592,-2.197990817852191,0.15305885351763185,-1.6644387546574917,-0.48565152932609323,0,0,0,0,-1,0,0,0
6145,13,1.2787536009528289,1,0.20755838690734196,1.5420638719335686,5.330725234863196,0.12882958902011407,-0.7905052001804834,0,0,0,0,0,0,0,0
6145,15,1.1760912590556813,1,0.20755838690734196,1.1914337447661538,-0.3148809452353104,0.5631750257858644,1.156700343131671,0,0,0,0,0,0,0,0
6157,15,1.146128035678238,0,0.20755838690734196,1.1914337447661538,-0.2983012186747741,0.5958206398639063,1.0947524357215728,0,1,0,0,1,1,0,0
