SITE_NO,SITE_ID,dummyCell
5MT19389,351,36296
5MT19390,355,27282
5MT19391,358,98740
5MT19393,360,128186
5MT19394,361,27282
5MT19396,363,12399
5MT10247,367,78217
5MT19400,369,48425
5MT10248,372,21151
5MT19402,373,60483
5MT10249,374,21151
5MT10250,376,21151
5MT19405,379,14052
5MT19379,382,21151
5MT19408,383,128328
5MT19410,385,123917
5MT10251,395,97324
5MT19420,401,82469
5MT19421,402,13808
5MT19422,403,13808
5MT19423,404,97067
5MT19425,406,116470
5MT19426,407,8140
5MT19427,408,5972
5MT19428,409,19672
5MT3829,410,75342
5MT19429,411,19672
5MT19430,413,8140
5MT3829,414,100962
5MT16803,422,99573
5MT16788,427,10361
5MT19433,433,126493
5MT19434,434,36489
5MT19435,435,124105
5MT19436,436,60595
5MT19437,437,12019
5MT19438,438,60595
5MT19441,442,60595
5MT263,445,122688
5MT2687,498,91405
5DL1502,531,41196
5DL1503,532,124491
5DL540,552,97182
5DL857,567,40172
5DL865,572,99897
5MT10018,579,95258
5MT10376,630,115230
5MT10405,660,63112
5MT10413,668,92106
5MT10508,698,8817
5MT10610,752,30762
5MT10622,761,53471
5MT10623,762,53471
5MT10631,770,110365
5MT10632,771,129913
5MT10635,774,48642
5MT10636,775,30260
5MT10637,776,125201
5MT10642,781,34336
5MT10643,782,34336
5MT10648,787,34336
5MT10653,792,29337
5MT10655,794,125923
5MT10656,795,107631
5MT10661,800,37617
5MT10663,802,89145
5MT10666,805,9626
5MT10668,807,37617
5MT10669,808,98886
5MT10670,809,98886
5MT10671,810,9715
5MT10673,812,7663
5MT10678,817,58636
5MT10680,819,81909
5MT10682,821,98886
5MT10684,823,104788
5MT10685,824,104788
5MT10687,826,13355
5MT10689,828,35759
5MT10694,833,14068
5MT10701,841,7227
5MT10702,842,40407
5MT10705,845,40407
5MT10706,846,42476
5MT10709,849,78391
5MT10716,856,104708
5MT10718,858,36158
5MT10719,859,94259
5MT10721,861,12265
5MT10731,871,10534
5MT10735,875,10393
5MT10736,876,41895
5MT10742,881,58487
5MT10750,888,8535
5MT10757,894,12265
5MT10759,896,58487
5MT10782,913,74129
5MT10784,915,74129
5MT10786,917,123677
5MT10789,920,126808
5MT10791,922,8535
5MT10794,925,99248
5MT10795,926,99248
5MT10797,928,81900
5MT10798,929,81900
5MT10799,930,124095
5MT10818,946,28450
5MT10819,947,123810
5MT10828,956,44122
5MT10831,959,36787
5MT10834,962,122339
5MT11056,1028,83956
5MT11125,1068,110645
5MT11334,1077,116078
5MT11335,1078,57013
5MT11353,1088,117046
5MT11355,1090,71102
5MT11358,1093,110012
5MT11392,1107,54194
5MT11396,1111,30149
5MT11397,1112,49702
5MT11509,1130,81098
5MT11578,1148,52840
5MT11585,1155,70678
5MT11586,1156,123490
5MT11598,1168,74987
5MT11600,1170,47540
5MT11603,1173,39125
5MT11616,1186,14819
5MT11700,1222,127125
5MT11807,1234,27793
5MT11809,1236,39847
5MT11813,1239,121334
5MT11891,1277,70021
5MT11899,1285,70021
5MT11907,1293,73119
5MT11909,1295,119482
5MT11916,1303,90078
5MT11918,1305,31013
5MT11934,1321,128797
5MT11935,1322,71765
5MT120,1344,6933
5MT12058,1355,119970
5MT12064,1357,41882
5MT1208,1364,87235
5MT12100,1374,101777
5MT12113,1384,110316
5MT12126,1391,23037
5MT12127,1392,63858
5MT12179,1407,36336
5MT125,1445,58977
5MT12581,1454,9006
5MT12594,1462,45864
5MT12599,1467,60708
5MT126,1468,47708
5MT12604,1470,46505
5MT12605,1471,46505
5MT12615,1478,110215
5MT12616,1479,38022
5MT12641,1492,9638
5MT12646,1496,71581
5MT12652,1502,51353
5MT12657,1506,93412
5MT1270,1513,114764
5MT12721,1535,95492
5MT1285,1567,41708
5MT12868,1572,27705
5MT129,1589,39692
5MT12930,1593,12223
5MT12931,1594,67987
5MT12969,1623,123276
5MT12970,1624,123276
5MT12972,1626,18940
5MT12988,1641,84409
5MT12991,1643,62438
5MT12993,1645,76176
5MT12994,1646,54774
5MT12998,1649,34526
5MT13001,1653,65423
5MT13004,1656,78296
5MT13008,1660,113536
5MT13195,1704,8978
5MT13251,1723,52164
5MT133,1766,65039
5MT13301,1768,121234
5MT13304,1771,22262
5MT13305,1772,22262
5MT13306,1773,9684
5MT13307,1774,60673
5MT13309,1776,120566
5MT13310,1777,117345
5MT13311,1778,117345
5MT13313,1780,65487
5MT13315,1782,77857
5MT13321,1788,84292
5MT13321,1789,123179
5MT13331,1798,21802
5MT13345,1811,53739
5MT13351,1817,48485
5MT13352,1818,107803
5MT13353,1819,52876
5MT13354,1820,45987
5MT13356,1822,39104
5MT13365,1831,30348
5MT13369,1835,129010
5MT13372,1838,32399
5MT13373,1839,117677
5MT13375,1841,95404
5MT13378,1844,76006
5MT13386,1852,60098
5MT13388,1854,15845
5MT13393,1859,17169
5MT13404,1871,114838
5MT13408,1875,13645
5MT13411,1878,98952
5MT13415,1882,124730
5MT13418,1885,10327
5MT13419,1886,58963
5MT13420,1887,38452
5MT13424,1891,124730
5MT13427,1894,88068
5MT13433,1900,29788
5MT13434,1901,56190
5MT13436,1903,106475
5MT13444,1911,13941
5MT13470,1924,108683
5MT13491,1926,128401
5MT135,1930,128058
5MT13538,1935,10838
5MT13539,1936,104938
5MT13543,1940,72787
5MT13552,1949,54053
5MT13568,1964,49792
5MT13578,1974,128967
5MT13583,1979,72712
5MT13589,1985,6312
5MT13594,1990,6312
5MT13597,1993,111038
5MT13599,1995,120268
5MT13615,2012,56187
5MT13616,2013,119439
5MT13620,2017,82011
5MT13622,2019,114693
5MT13636,2023,42267
5MT13640,2026,23170
5MT13643,2029,55441
5MT13644,2030,100685
5MT13725,2032,121712
5MT13726,2033,78026
5MT13756,2045,46387
5MT13912,2063,104918
5MT13914,2065,10673
5MT14399,2067,7767
5MT14543,2074,30583
5MT152,2089,66283
5MT1536,2106,10414
5MT1548,2118,27426
5MT1550,2120,77685
5MT1551,2121,55694
5MT1557,2127,114894
5MT156,2130,63204
5MT1560,2131,125409
5MT1561,2132,13636
5MT1568,2136,100322
5MT1570,2137,7423
5MT1575,2141,67008
5MT1580,2147,115568
5MT1585,2152,14387
5MT1606,2172,98956
5MT1610,2177,24581
5MT1617,2184,108648
5MT1619,2186,38985
5MT1620,2188,38985
5MT1621,2189,98842
5MT1622,2190,112563
5MT1624,2192,53946
5MT1626,2194,52204
5MT1630,2198,41573
5MT1634,2202,35037
5MT1638,2206,101243
5MT1641,2210,52374
5MT1645,2214,44992
5MT1660,2231,92372
5MT1661,2232,12773
5MT1665,2236,11419
5MT1669,2239,38103
5MT167,2240,31027
5MT1678,2249,16642
5MT1680,2251,124025
5MT1687,2258,52314
5MT169,2261,112534
5MT1692,2264,91204
5MT1693,2265,38309
5MT170,2268,19846
5MT1710,2279,32036
5MT1714,2283,7051
5MT1731,2299,21270
5MT1733,2301,101777
5MT1735,2303,112614
5MT1736,2304,76888
5MT174,2308,85596
5MT1741,2310,98659
5MT1748,2316,62171
5MT1777,2346,108721
5MT1779,2348,58483
5MT1792,2362,44726
5MT1793,2363,21462
5MT1798,2368,26017
5MT1799,2369,104520
5MT1801,2371,50651
5MT1802,2372,78628
5MT1807,2377,69961
5MT1808,2378,69961
5MT181,2380,89812
5MT1814,2385,27192
5MT1818,2388,55542
5MT182,2390,47708
5MT1822,2393,18374
5MT1823,2394,29682
5MT1831,2403,26279
5MT1835,2407,52497
5MT184,2412,95236
5MT185,2421,38659
5MT1853,2422,79770
5MT1904,2431,24052
5MT1915,2435,23591
5MT192,2439,17799
5MT1945,2458,7462
5MT1949,2462,122910
5MT1952,2466,87604
5MT1955,2469,20906
5MT1964,2475,29189
5MT1966,2477,54516
5MT1971,2480,47904
5MT198,2485,80018
5MT1982,2488,61212
5MT1987,2489,105386
5MT1989,2491,46329
5MT199,2492,129808
5MT1998,2499,128177
5MT2013,2516,9965
5MT202,2517,74715
5MT2024,2521,61904
5MT2031,2528,77502
5MT2032,2529,77502
5MT204,2531,91092
5MT2052,2535,68229
5MT2053,2536,68229
5MT206,2542,79369
5MT2064,2543,97831
5MT2067,2545,38574
5MT210,2549,120514
5MT2110,2552,81708
5MT2116,2558,65128
5MT2117,2559,48509
5MT2118,2560,86333
5MT212,2562,114871
5MT215,2567,39071
5MT216,2569,115043
5MT2162,2572,85168
5MT2192,2602,88676
5MT2194,2604,61880
5MT220,2610,80223
5MT2206,2617,22090
5MT222,2632,22490
5MT2226,2639,24273
5MT2230,2644,24638
5MT2235,2649,83257
5MT2241,2656,17897
5MT2258,2665,39382
5MT2263,2669,74227
5MT232,2710,99578
5MT2355,2741,69080
5MT2377,2762,49923
5MT2378,2763,127393
5MT240,2783,80629
5MT2430,2803,11811
5MT244,2812,23154
5MT2441,2813,124650
5MT2458,2825,54254
5MT2479,2845,27018
5MT249,2856,17096
5MT2490,2857,65128
5MT2500,2866,54934
5MT253,2886,47270
5MT2549,2906,9862
5MT255,2907,109008
5MT2560,2912,13078
5MT258,2915,109588
5MT270,2976,53173
5MT2723,2985,28220
5MT2725,2986,28220
5MT273,2989,47180
5MT2737,2993,44904
5MT275,3001,92618
5MT2761,3004,37891
5MT2764,3006,90473
5MT279,3011,100266
5MT282,3021,93522
5MT283,3022,86315
5MT2855,3038,126305
5MT3049,3112,19248
5MT3054,3118,73900
5MT3059,3123,109208
5MT3060,3125,109208
5MT3062,3127,35983
5MT3065,3130,98842
5MT3066,3131,71062
5MT3082,3146,27489
5MT3083,3147,27489
5MT3101,3165,83773
5MT3103,3167,42757
5MT3105,3169,91322
5MT313,3194,94248
5MT3142,3207,25368
5MT3146,3211,14695
5MT3173,3236,91614
5MT3198,3263,63294
5MT3209,3274,112852
5MT321,3275,29130
5MT3214,3280,31733
5MT3217,3283,10414
5MT3219,3285,47890
5MT3264,3317,30866
5MT3287,3338,35594
5MT3288,3339,29203
5MT3291,3342,59608
5MT3303,3355,123544
5MT3304,3356,57017
5MT3319,3369,47890
5MT3322,3370,89469
5MT355,3385,26762
5MT3778,3456,66851
5MT3795,3469,66120
5MT3800,3474,59404
5MT3801,3475,108303
5MT3806,3479,103644
5MT3813,3486,5972
5MT3828,3500,89610
5MT3878,3545,59515
5MT3882,3549,123767
5MT3885,3551,109670
5MT3886,3552,126808
5MT3887,3553,37617
5MT3893,3559,58487
5MT3896,3562,102719
5MT3898,3564,128660
5MT3900,3566,108994
5MT3908,3574,72235
5MT3911,3576,72235
5MT3912,3577,112668
5MT3913,3578,72235
5MT3915,3580,124095
5MT3950,3612,129688
5MT3952,3614,38767
5MT3995,3655,65025
5MT415,3750,5919
5MT4326,3822,81289
5MT4332,3828,28350
5MT4370,3855,54186
5MT4386,3869,16924
5MT447,3933,105071
5MT4494,3955,82268
5MT4502,3964,85665
5MT4507,3969,32264
5MT4508,3970,86603
5MT4514,3977,84945
5MT452,3980,7798
5MT4525,3984,29854
5MT453,3988,93923
5MT4534,3992,75381
5MT454,3998,93923
5MT4545,4004,50192
5MT456,4020,98678
5MT458,4033,41566
5MT4606,4049,85520
5MT4610,4053,120660
5MT4613,4056,22982
5MT4616,4059,56578
5MT4629,4073,105802
5MT463,4074,39441
5MT4640,4084,118859
5MT4651,4096,107093
5MT467,4113,78042
5MT469,4135,68788
5MT4715,4157,85954
5MT473,4168,62932
5MT474,4170,33916
5MT476,4188,55500
5MT4855,4283,70299
5MT4876,4306,77893
5MT4877,4307,67834
5MT4878,4308,67834
5MT488,4310,18345
5MT489,4319,42535
5MT490,4330,120605
5MT4931,4350,70420
5MT495,4367,49377
5MT496,4374,78384
5MT497,4383,88133
5MT498,4390,111033
5MT5002,4408,93245
5MT5003,4409,113193
5MT5018,4423,98594
5MT5023,4429,27136
5MT5085,4493,6271
5MT5124,4535,59604
5MT513,4541,65410
5MT5140,4553,90622
5MT5148,4561,26132
5MT515,4563,116648
5MT5150,4564,97638
5MT5154,4568,106640
5MT519,4597,17375
5MT522,4600,20952
5MT525,4605,36336
5MT527,4619,32478
5MT535,4691,66581
5MT536,4702,74736
5MT5446,4761,61546
5MT5456,4771,97541
5MT5461,4776,113770
5MT5468,4783,107204
5MT5469,4784,45312
5MT5480,4793,89387
5MT5495,4800,101911
5MT5499,4803,122437
5MT5501,4805,118421
5MT5502,4806,48744
5MT5503,4807,19427
5MT5517,4814,92491
5MT566,4902,128438
5MT5717,4910,37266
5MT5730,4922,12510
5MT5735,4925,80090
5MT5736,4926,80090
5MT5737,4927,80090
5MT5758,4939,12221
5MT5770,4941,58863
5MT5774,4944,14065
5MT5775,4945,47880
5MT5776,4946,16857
5MT5777,4947,44403
5MT5780,4950,70886
5MT5781,4951,125310
5MT5786,4955,16023
5MT5787,4956,16023
5MT5788,4957,30706
5MT5792,4961,123359
5MT5810,4977,127585
5MT5820,4986,34602
5MT5826,4992,34591
5MT5882,5022,28220
5MT5981,5117,34203
5MT6253,5320,86064
5MT6280,5346,115716
5MT6298,5363,114467
5MT6317,5382,24189
5MT6363,5426,53742
5MT658,5628,44879
5MT665,5682,85023
5MT668,5715,119788
5MT669,5726,106579
5MT671,5748,8268
5MT6739,5777,59176
5MT674,5778,23251
5MT6754,5794,31749
5MT677,5810,80497
5MT679,5832,44469
5MT6827,5869,60555
5MT683,5872,26257
5MT685,5887,16188
5MT689,5917,50947
5MT690,5918,22005
5MT6947,5956,129847
5MT6952,5961,104938
5MT6954,5963,20758
5MT6968,5977,117095
5MT7069,6025,13695
5MT7073,6030,55239
5MT7084,6036,12146
5MT711,6045,95669
5MT712,6046,21333
5MT714,6048,41195
5MT716,6064,89371
5MT720,6086,113896
5MT722,6108,47549
5MT723,6119,85958
5MT724,6130,83481
5MT7246,6136,93502
5MT7249,6139,73651
5MT725,6140,83396
5MT7288,6153,15536
5MT7292,6158,80226
5MT7323,6192,10478
5MT734,6209,50807
5MT7345,6215,117598
5MT7354,6224,41952
5MT7355,6225,42591
5MT7356,6226,122223
5MT7358,6228,13675
5MT7363,6234,85189
5MT7371,6243,117710
5MT7395,6269,126087
5MT7406,6281,13675
5MT7502,6327,14347
5MT7514,6334,37494
5MT7525,6343,65472
5MT755,6363,40167
5MT756,6365,119969
5MT757,6368,40351
5MT762,6389,85545
5MT769,6405,15869
5MT770,6406,36870
5MT772,6408,52466
5MT773,6409,23170
5MT777,6413,12046
5MT785,6421,103970
5MT788,6423,51889
5MT7912,6428,103673
5MT793,6433,66657
5MT7953,6440,85768
5MT7956,6443,108008
5MT796,6447,10673
5MT7983,6467,101277
5MT7987,6471,114103
5MT803,6505,112688
5MT8030,6506,15523
